H,L,Lf,V,MV
5.5,11,5,432,165
5.5,11,7,606,324.0416667
5.5,11,9,777,534.1875
5.5,11,11,946.3,795.1548611
5.5,11,13,989.8,914.8776389
5.5,11,15,949,584.7773148
5.5,11,17,893.2,485.6410131
5.5,13,5,385,124.4257479
5.5,13,7,539,243.8744658
5.5,13,9,693,403.1394231
5.5,13,11,845.9,601.438515
5.5,13,13,994.9,835.9923611
5.5,13,15,1031.3,953.2363194
5.5,13,17,992.5,637.7461193
5.5,15,5,347,97.19212963
5.5,15,7,486,190.575
5.5,15,9,624,314.6
5.5,15,11,763.1,470.2250463
5.5,15,13,900,655.4166667
5.5,15,15,1034.7,869.4354167
5.5,15,17,1066,985.3097222
5.5,17,5,316,78.09640523
5.5,17,7,443,153.2765523
5.5,17,9,569,253.1213235
5.5,17,11,695.2,377.9866013
5.5,17,13,820.5,527.2248775
5.5,17,15,945.3,700.8658088
5.5,17,17,1067.7,897.1645833
6.5,5,5,752,640.7573964
6.5,5,7,896,839.8011834
6.5,5,9,859,406.6272189
6.5,5,11,806,312.1678322
6.5,5,13,751.5,246.2812927
6.5,5,15,700.4,198.9301775
6.5,5,17,654.8,164.0988514
6.5,7,5,632,384.649197
6.5,7,7,884,753.2307692
6.5,7,9,986,924.156213
6.5,7,11,951,515.6578806
6.5,7,13,894.6,410.4491579
6.5,7,15,837,332.8189349
6.5,7,17,782.8,274.6475461
6.5,9,5,545,257.9881657
6.5,9,7,766,507.6449704
6.5,9,9,980,835.0295858
6.5,9,11,1059.8,993.3273373
6.5,9,13,1024.9,604.5837051
6.5,9,15,969.2,495.4963314
6.5,9,17,910.6,410.7683954
6.5,11,5,479,185.5190963
6.5,11,7,675,366.0032275
6.5,11,9,868,605.1253362
6.5,11,11,1055.6,899.4461538
6.5,11,13,1120.7,1050.407574
6.5,11,15,1086.1,678.6518343
6.5,11,17,1031.7,568.8175426
6.5,13,5,429,140.591716
6.5,13,7,604,277.1197087
6.5,13,9,777,458.3486573
6.5,13,11,948,683.4920346
6.5,13,13,1115.8,950.7408284
6.5,13,15,1170.7,1097.271479
6.5,13,17,1137.5,741.1764706
6.5,15,5,388,110.2011834
6.5,15,7,546,217.1076923
6.5,15,9,703,359.4035503
6.5,15,11,858.6,536.4979882
6.5,15,13,1013.8,748.6523077
